"filename", "language", "Markdown", "PostCSS", "HTML", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-vinculacion\index.css", "PostCSS", 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-vinculacion\layout.css", "PostCSS", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-vinculacion\menu.css", "PostCSS", 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-vinculacion\modal.css", "PostCSS", 0, 58, 0, 0, 0, 0, 10, 68
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-vinculacion\responsive.css", "PostCSS", 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\cuidador-vinculacion\top-nav.css", "PostCSS", 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-cuidador\cards.css", "PostCSS", 0, 385, 0, 0, 0, 8, 60, 453
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-cuidador\dashboard.css", "PostCSS", 0, 35, 0, 0, 0, 2, 6, 43
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-cuidador\index.css", "PostCSS", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-cuidador\modal.css", "PostCSS", 0, 239, 0, 0, 0, 13, 37, 289
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-cuidador\responsive.css", "PostCSS", 0, 56, 0, 0, 0, 4, 15, 75
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-cuidador\topbar.css", "PostCSS", 0, 172, 0, 0, 0, 3, 21, 196
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-paciente\cards.css", "PostCSS", 0, 32, 0, 0, 0, 5, 6, 43
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-paciente\daily-sections.css", "PostCSS", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-paciente\ds-badges.css", "PostCSS", 0, 22, 0, 0, 0, 2, 3, 27
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-paciente\ds-layout.css", "PostCSS", 0, 58, 0, 0, 0, 4, 11, 73
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-paciente\ds-medicamentos.css", "PostCSS", 0, 110, 0, 0, 0, 1, 18, 129
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-paciente\ds-metrics.css", "PostCSS", 0, 26, 0, 0, 0, 1, 4, 31
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-paciente\ds-progress.css", "PostCSS", 0, 37, 0, 0, 0, 2, 6, 45
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-paciente\ds-states.css", "PostCSS", 0, 35, 0, 0, 0, 2, 7, 44
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-paciente\ds-tomas.css", "PostCSS", 0, 42, 0, 0, 0, 1, 6, 49
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-paciente\index.css", "PostCSS", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-paciente\layout.css", "PostCSS", 0, 17, 0, 0, 0, 2, 3, 22
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-paciente\responsive.css", "PostCSS", 0, 23, 0, 0, 0, 1, 5, 29
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\dashboard-paciente\topbar.css", "PostCSS", 0, 119, 0, 0, 0, 1, 14, 134
